		8
normaláman-to		1
north		2
north-and		1
nose		1
nose-to		1
nostalgia		1
nostrils		1
not		55
note		1
nothing		6
notice		2
noticeable		2
noticed		5
noting		1
notion		5
notástupid,áyou		1
novel		1
novelty		1
now		31
nowise		1
noásecretáor		1
number		8
number-of		1
nurses		1
o'clock		3
o.k		2
object		2
objectors		1
objects		1
obliged		2
obsequious		1
obstruct		1
obtrusively		1
obvious		1
obviously		4
occasionally		2
occupants		3
occupied		2
occupying		1
occurred		1
odd-man-out		1
oddly		3
of		578
off		34
off-and		1
off-rather		1
off-that		1
offer		3
office		1
officer		1
officer's		1
often		2
ofábeau		1
ofámineáget		1
oh		17
oh,álord.áwouldn't		1
oh-i'm		1
oil-and-vinegar		1
old		25
older		2
olivedrab		1
on		213
once		12
onceover		1
one		84
one's		3
one-bathroom		1
one-tenth		1
one-woman		1
ones		1
only		38
onto		1
op-penheim		1
open		11
open-handed		1
opened		6
openly		1
operation		2
opinion		6
opinionated		1
oppenheim		2
opposite		1
oppressive		1
oppressive-looking		1
or		113
orange		1
ordeal		1
order		3
orderliness		1
orderly		3
ordinary		1
organ		2
organist		1
original		1
originally		2
ornaments		1
oráarizona,áor		1
ostensibly		1
osteopath		1
other		19
other's		1
others		3
otherwise		2
ought		7
ounce		1
ounces		1
our		29
out		88
out-somewhat		1
outbreak		1
outlawed		1
outrank		1
outside		7
outsize		2
outspoken		1
over		66
over-all		1
over-just		2
overapologize		1
overhauled		1
overheated		2
overlooked		1
overly		1
oversize		1
overwhelming		1
overwhelmingly		1
own		13
owner		3
ownáclothes,áshe		1
ownáhousework.áher		1
pacific-or		1
pacifier		1
pack		3
package		3
packed		2
packs		1
pad		6
pages		3
pained		1
pains		1
pajamas		1
palate		1
pale		1
palm		1
pancake		4
pantages		1
pantomimed		1
pantomined		1
paper		6
papers		1
parade		5
paragraph		1
paralysis		1
paranoiac		1
parched		2
pardon		1
pardonáme"áthe		1
parent		1
parenthetically		1
parents		4
park		3
part		4
partial		2
particular		3
particularly		1
parting-but		1
partisanship		1
partly		4
partners		1
parts		2
party		6
pass		6
passe		1
passed		8
passenger-the		1
passes		4
passing		8
past		6
pate		1
patent-leather		1
patient		1
patients		1
patronizing		1
patting		1
paws		1
pay		3
paying		1
peace		2
peculiar		2
peculiarly		3
pedantic		1
peeped		1
pen		2
pencil		9
penn		2
people		23
people's		1
people-referred		1
perceive		1
perceiving		1
perceptible		1
perceptibly-at		1
perched		1
peremptorily		1
perfect		1
perfection		1
perfectionist		1
perfectly		9
performance		1
perfunctorily		1
perhaps		6
permanent		3
permanently		1
permission		1
person		7
person-a		1
personage		1
personal		2
personality		4
personally		2
persons		1
perspiration		1
perspiring		3
pessimistically		1
pet		1
pewter		2
phenomenon		1
phone		18
phoned		1
photograph		5
photograph-rather		1
photographs		4
physical		2
physically		1
pick		4
picked		12
picking		1
picnic		1
picture		5
pictures		2
piece		1
pieces		1
piercing		1
pigeons		1
pillow		1
pillowcases		1
pilot's		2
pinch		1
pink		2
pinks		1
pique		1
pitched		1
pitcher		9
pitcherful		1
pitied		1
place		7
placed		3
places		2
plaint		1
plane		5
planned		1
plans		3
platoon		2
play		2
playing		4
please		3
pleaseágo.áit's		1
pleasing		1
pleasurable		1
pleasure		1
pleurisy		2
pleurisy-a		1
plopping		1
plot		1
plotting		2
plumbing		1
plunge		1
plunging		1
po		4
pocket		6
pockets		1
poem		1
poet		1
poetic		1
poetry		7
point		12
poised		1
poisonous		1
policed		1
policeman		2
polluted		1
pompeii		1
pooped		1
poor		9
popped		1
posh		1
position		5
position-the		1
possessed		1
possession		3
possible		3
possibly		13
post		7
posted		1
postpone		1
potatoes		1
pour		2
poured		3
pouring		1
powdered		1
practically		2
praiseworthy		1
pray		1
precious		1
precocious		1
predominantly		1
prefer		1
prejudice		1
presence		1
present		2
pressed		1
presumably		3
pretty		1
prevailed		1
prevent		2
price		1
pride		1
primal		1
principles		1
printed		2
privacy		2
private		2
pro		1
probability		2
probably		2
probably-yes		1
procedure		1
proclaiming		1
professional		5
professionally		1
professor		1
profusely		1
profusion-on		1
progams		1
progeny-seven		1
program		11
prolific		1
promised		2
promptly		1
promptness		1
pronoun		1
propriety		1
prose		1
prosperity		1
prostrate		2
proved		1
provocative		2
pseudonyms		1
psychiatrist		1
psychoanalyst		2
psychoanalyzed		1
pub/i-city		1
public		3
publicity		1
puddle		1
puissance		1
pull		1
pulled		4
pulling		1
pulse		1
punches		1
pungent		1
purelyáit's		1
purpose		1
purr		1
push		2
put		20
putting		5
qualities		1
quarter		3
quest		1
question		8
questions		4
quick		1
quickly		5
quietly		1
quietly-quietly		1
quit		3
quite		14
quitting		1
quivering		1
quiz		2
quonset		1
quotation		1
quoted		1
r.h		1
racket		1
racoon-coat		1
radio		8
rain		1
rainstorm		1
raise		4
raised		5
raises		1
raising		1
ramifications		1
rammed		1
rampant		1
ran		2
rang		1
rank		2
ranker		1
ranking		1
rankle		1
rash		1
raspberries		1
rate		1
rather		36
raving		1
reach		3
reached		8
reacted		1
reaction		3
reactivated		1
read		14
reader		1
readily		2
reading		4
real		3
reality		2
really		26
reappearance		1
rear		2
reason		9
reasonable		1
reasons		2
rec		1
received		1
recently		1
reception		4
recesses		1
recognition		1
recommend		1
record		1
recuperated		1
red		2
red-blooded		1
redirecting		1
refilled		1
reflect		1
reflected		1
reflecting		1
refreshed		1
refreshment		1
refrigerator		3
regained		1
regard		1
regret		2
regrettably		1
regulation		1
rehearsals		1
reiterate		1
rejoined		1
relate		3
related		1
relatives		1
relax		2
released		2
relief		1
relieved		2
religious		1
religiously		1
reluctant		1
rely		1
remained		3
remaining		1
remark		3
remarks		1
remember		28
remember-the		1
remembers		1
remind		1
reminiscer		1
remnants		1
remote		1
remotely		1
remotest		1
removed		2
rented		1
repeated		2
replaced		2
replied:		1
reply		4
report		1
reportedly		1
repose		1
representative		1
reproduced		1
reproduction		1
require		1
reread		1
resemblance		1
resolute-looking		1
resounded		1
resources		1
respected-never		1
respective		2
respectively		1
resplendent		1
respond		1
responded		1
responds		1
response		2
responsibility		1
responsible		1
responsive		1
rest		2
resting		2
restricted		1
resume		1
resumed		1
retarded		2
retired		1
retirement		1
retreat		2
retributive		1
return		3
returned		2
reunion		1
reverse		1
reversed		1
revitalizing		1
revolving		2
rhea		2
rhythm		1
rib		1
ribs		1
ride		1
riffled		1
rifle		2
rift		1
right		28
right-angled		1
right-hand		1
righteously		1
rightfully		1
risen		1
rising		1
river		1
rivers-seemed		1
riverside		1
riveted		1
rode		1
rodgers		1
romance		1
romantic		1
roof		5
room		34
roommate's		1
rooms		1
rouge		1
rouged		1
roughly		1
round		1
round-table		1
row		1
rubbed		1
rude		1
rudely		2
rudeness		1
rule		2
run		3
runaway		1
rung		2
running		2
rush		2
rye		1
sack		2
sacred		2
safe		1
said		189
saigyo		1
sake		6
sake-me		1
salad		1
salient		1
salinger		1
sallow		1
salt		1
salutations		1
saluting		1
same		8
samples		1
san		1
sandwiches		1
sane		1
sang		2
sappho		1
sat		25
satin		2
satisfaction		2
satisfied		1
saved		1
saw		3
say		33
say-was		1
saying		4
says		5
scanning		1
scarcely		1
scared		1
scars		3
scary		1
scene		5
scenery		1
scharfft's		2
schizoid		4
school		2
schrafft's		4
scotch		2
scotch-roughly		1
scouts		3
scrambled		1
script		1
scrutinized		1
sea		2
seafaring		1
searchlights		1
seat		12
seated		5
seatmate		1
seats		4
second		9
second-eldest		1
secondhand		2
seconds		1
secret		2
secretary		1
sect		1
secular		1
secured		1
seduced		1
see		31
seeing		2
seem		4
seemed		34
seemed-into		1
seemed-the		1
seems		5
seen		9
seeped		1
sees		2
self-contained		1
self-identification		1
semblance		3
send		1
sending		1
sense		8
sensibly		1
sensitive		1
sent		3
sentence		1
sententiously		1
sentimental		2
sentimentality:		1
separated		1
separations		1
serge		1
serial		1
serious		1
seriously		1
serve		3
serviceable		2
set		3
seven		6
seventeen		1
seventh		2
seventy-ninth		3
seventy-second		1
several		6
severely		3
sex		1
sexual		1
seymour		39
seymour's		15
seymour-with		1
seymour;		1
shach'iu		1
shaken		1
shaking		1
shallow		1
share		1
shared		1
sharing		1
sharply		3
she		284
she'd		2
she'll		3
she's		19
she'sátaught,áshe's		1
sheer		2
sheerly		1
sheet		2
sheets		1
shelf		1
sherry		1
sheáknewáshe		1
shift		1
shifted		2
ship		2
shipped		1
shirt		1
shirts		1
shock		1
shoes		1
shook		4
shoot		1
shop		2
short		7
shorten		1
shorter		1
shortly		2
should		11
should've		1
shoulder		5
shoulders		3
shouldn't		1
shout		1
shouted		7
shouts		1
show		10
showed		1
showoff		1
shows		1
showy		1
shrill		1
shrugged		3
shudder		1
shuddered		1
shut		4
sick		4
side		11
sides		1
sidewalk		1
sidewalk-especially		1
siege		1
sigh		1
sight		2
sighted		1
sign		1
sign-almost		1
signal		2
significantly		1
signify		1
signs		2
silence		1
silent		1
silk		4
silsburn		92
silsburn!"áfrom		1
silsburn's		3
silsburn-were		1
similar		1
simple		3
simpleton		1
simplicity		1
simply		5
sims		3
simulated		1
simultaneously		2
since		6
sing		1
single		3
single-mindedness		1
singled		2
singleminded		1
singularly		3
sink		1
sister		7
sister's		3
sister-in-law		1
sit		3
sit-up		1
sits		1
sitting		14
six		7
sixteen		1
skill		2
skull		1
sky		1
slammed		1
slamming		2
slavered		1
sleek		1
sleep		2
sleeping		1
sleeve		1
slight		1
slightly		3
slip		2
slipped		4
sliver		1
slow		1
slowly		3
slumped		1
small		16
small-size		1
smelled		1
smile		7
smiled		4
smiles		1
smoke		4
smoked		1
smoothly		1
snort		2
so		57
so-you		1
soap		3
sobbing		1
sober		1
society-and		1
soft		2
softly		3
soldier		2
solely		1
solemnlyápromisedáher		1
solid		2
solitude		1
some		43
somebody		6
somebody'sánormaláthat		1
somebodyánormal?ádoes		1
someone		7
someone's		2
someoneáhadáto		1
someplace		2
something		27
sometimes		3
somewhat		9
somewhere		6
someáhotel."áshe		1
son's		1
sons		1
soon		2
sophisticated		2
sorry		3
sort		10
sound		12
sounded		9
sounding		1
sounds		2
soupgon		1
south		1
south-bound		1
southward		1
soábuffaloedáthat		1
soádry		1
soágayáon		1
soáhotáin		1
space		6
sparse		1
speak		8
speaker		3
speaker's		1
speaking		1
special		2
specialist		1
specific		1
spectacle		1
speculation		1
speech		3
speeches		1
spell		3
spell-a		1
spells		1
spent		1
spilling		1
spin		1
spirit		1
spirited		1
spiritual		2
splendid		1
split		2
splitting		1
spoke		5
spoken		2
spokeswoman		1
spontaneity		1
spooky		1
spot		1
spotted		2
spread		1
spreading		1
spring		1
sprint		1
spunky-about		1
spuriously		1
square		1
squashed		1
squeeze		1
squeezed-was		1
squinted		1
stacks		1
stadium		1
stage		1
stage-whispered,á"i'm		1
staggered		1
stagy		1
stain		2
stallion		1
stand		3
standard		1
standing		6
standáguardáwith		1
star-spangled		2
stare		1
stared		7
stares		1
staring		7
stars		1
start		3
started		7
starting		2
startled		1
starts		1
state		1
stated		1
statement		1
states		1
station		5
stationary		1
stationed		7
stay		1
stayed		1
stead		2
steadily		3
steam		1
steed		1
steel		1
stein		1
step		3
stepped		3
steps		3
stifling		1
still		29
stilted		1
stinkers		1
stir		3
stirring		3
stitches		7
stock		1
stolen		1
stomach		1
stone		4
stone-deaf		1
stood		15
stoopball		1
stoopball-are		1
stop		3
stopped		4
stopping		2
storm		1
story		2
stove		1
straight		8
straight-linishly		1
straighten		1
straightened		1
strained		1
strange		1
strangely		1
stranger's		1
strangers		1
strapped		1
stream		1
street		9
strengthen		1
strenuous		1
strep		1
stretched		1
stretching		1
strikes		2
string		1
stringently-putting		1
stripes		1
stripped		1
strips		1
strode		1
strong		2
struck		2
stub		2
stuck		2
studio		3
studios		1
studying		1
stuff		1
stuffed		1
stumpers		1
stunt		1
style		2
subject		7
subject's		1
sublimely		1
subnormal-sounding		1
subsequently		1
subway		1
such		5
sudden		3
suddenly		22
suffice		1
sugar		1
sugary		1
suggested		2
suggestion		1
suicide		1
suit		2
sullivan		1
summer		1
sun		3
sun's		1
sun-baked		1
sunday		1
suntan		1
superlative		3
supersociably		1
support		2
suppose		3
supposed		6
suppress		3
supreme		1
sure		5
surely		2
surface		1
surgical		1
surrender		1
surreptitiously		2
suspect		1
suspected		1
suspended		1
suspiciously		1
sustained		1
swallowed		1
swears		1
sweet		2
swinging		1
switch		1
switch-with		1
swivel		1
swung		3
syllabic		1
symbols		1
sympathetic		1
sympathy		2
t		2
table		17
tablet		1
tabloid		2
tacked		1
tacks		1
tactfully		1
take		27
taken		8
taker		1
taking		2
tale		2
talent		1
talents		1
talk		8
talked		2
talking		5
tall		1
taller		1
tan		1
tao		1
taoist		1
tape		5
tapped		2
task		1
taste		3
tastefully		1
tastes		1
teach		2
teacher		1
teaching		3
tearful		1
tears		3
technically		2
technicolor		1
teentsy		2
teeny		1
teeth		1
tell		8
telling		2
tempo		1
temporarily		1
ten		8
ten-month-old		1
tended		1
tendency		1
tenderness		1
tenet		1
tense		1
tension		1
terrible		9
terribly		1
terrific		1
terrific-looking		1
terrified		1
tete-a-tete		1
text		1
textures		1
than		22
thank		2
thanks		1
that		264
that's		16
that'sáexactlyáwhat		1
thatáchild?"ámrs		1
thatáiáhad		1
the		1145
the:		1
their		15
them		25
theme		1
themself		1
themselves		1
then		68
then,áyou		1
then-at		1
theory		1
there		48
there's		4
there-with		1
thereabouts		1
therefore		2
thereánow.ái		1
thereáwasásomething		1
these		9
they		32
they'd		1
they're		1
theáblackáchildren		1
theácountry-then,áafter		1
theáfirstáplace		1
theágroom"áthe		1
theálast		1
theámorning		1
thin		2
thing		11
thing's		1
things		13
things:		1
think		32
think-to		1
thinking		4
thinks		2
third		2
thirst		1
thirteen		2
thirteen-year-old		1
thirties		1
this		56
this:		1
thisánormaláseymour		1
thisásun,"áour		1
thisáworld.ágolly		1
thoroughly		3
those		13
though		37
thought		24
thought-in		1
thousand		1
threats		1
three		15
three-day		1
threw		4
throat		3
through		17
throughout		3
throw		1
throwing		1
tied		3
tight		1
till		14
tilt		1
time		31
times		5
timorous		1
tininess		1
tinkering		1
tinkling		1
tiny		13
tipped		1
tissues		1
to		557
toasted		1
today		4
together		5
tokenless		1
told		14
tom		5
ton		1
tone		3
tone-deaf		1
tongue		2
tonight		6
too		33
too-but		1
too-you		1
too;		1
took		19
tooáhappyáto		1
top		9
toss		1
touch		3
touched		2
touching		4
tourists		1
toward		16
toxic		1
toádo,áanyway		1
toáfiveáin		1
toálikeábad		1
toáme,ábut		1
toáphoneáfrom		2
tracks-is		1
tractile		1
traffic		1
tragedy		2
train		3
trained		1
training		1
trains		1
tramped		1
transcendently		1
transportationátheyáneeded		1
travel		1
tray		7
tread		1
trembling		1
tried		5
trifle		11
trip		3
troops		1
trotting		1
trouble		2
troubled		1
true		4
truth		3
trying		4
tub		1
tubes		1
tucked		1
tuesday		1
tuna-fish		1
tunic		3
tunic-and		1
tunic-peeled		1
turn		2
turned		50
turning		3
twelfth		1
twelve		1
twenties		1
twenty		3
twenty-four		1
twenty-three		6
twenty-three-year-old		1
twice		4
twin		1
twins		2
two		39
two-woman		1
twosome		1
twosome-almost		1
txied-and-true		1
type		1
typically		1
un-lighted		1
unadmirable		1
unanswered		1
unassigned		1
unattractively		1
unbearably		1
unbelievers		1
unbox		1
unbutton		1
uncarpeted		1
uncle		7
uncle's		1
uncle-my		1
uncles		2
unclose		1
uncomfortable		1
uncomradely		1
unconsciously		1
unconsumed		1
under		14
understand		2
understandable		1
understanding		3
understatement-no		1
undertaking		1
undeviating		1
undiscriminating		1
undisguised		1
undoubtedly		4
undramatic		1
undying		2
uneasily		1
uneasy		2
uneasy-considering		1
unequivocally		1
unexplained		1
unfamiliar		1
unfit		1
unhappy		1
unidentified		1
uniform		1
unimaginably		1
uninfectiously		1
unintelligibly		1
unintrepid-looking		1
unison		2
unit		1
united		1
universally		1
unknown		1
unless		4
unlighted		2
unlimited		1
unmarried		2
unmindfulness		1
unmistakably		4
unnatural		1
unnecessary		1
unnoisily		1
unnoticed		1
unofficially		1
unparalleled		1
unprecedented		1
unpressed		1
unqualified		1
unreservedly		1
unribaldly		1
unsentimentally		2
unspeakably		1
unsquarely		1
unsteadily		2
unsteady		1
untidy		3
until		2
unwaveringly		1
unwieldy		1
unzipped		1
up		70
upholstered		1
upon		1
upper		3
upright		1
uproarious		1
ups		1
upset		4
uptown		2
upáor		1
urge		2
us		34
us-at		2
us-i		1
use		8
used		9
using		2
usual		5
usually		4
usurped		1
vacant		1
vacation		1
vain-at		1
valid		1
valise		1
valuable		1
value		2
valued		1
vast		1
vastly		1
vaude-villians		1
vaudevillians		1
veal		1
vedanta		1
veering		1
vegetables		1
vehemently		1
vehicle		1
ventilated		1
verbatim:		1
verbose		1
verdict		1
vertical		1
very		61
via		1
vicinity		4
vicious		1
victory		1
view		4
vigorously-a		1
vines		1
violent		1
violently		1
virtues		1
visible		2
visit		1
visiting		1
visored		2
vivid		1
vocabulary		1
voice		24
volleyball		1
volume		2
volume:á"no.áthey're		1
voluminous		1
wag		1
wagged		1
wagging		1
wait		3
waited		6
waiting		6
wakened		2
waker		3
walk		1
walked		6
walked-slowly-back		1
walking		1
wall		4
wallet		1
walt		7
waltz		1
wan		1
wandered		1
wandering		1
wangle		1
want		3
wanted		6
wants		7
war		2
warms		1
warps		1
was		342
washbowl		1
washcloth		1
washed		1
wasn't		3
wasáfourteenáor		1
wasájustáhalting		1
wasásnowingáor		1
watch		3
watched		2
watching		4
wave		2
waved		4
wavered		1
waves		3
way		31
we		47
we'd		1
we'll		2
we're		14
we've		1
weaker		1
weaknesses		3
wear		1
wearer		1
wearing		5
weather		1
weaving		1
wedding		12
wedding-i		1
wedged		1
wednesday		2
week		5
week's		1
weekly		1
weeks		4
weighs		1
weight		2
welcome		2
well		27
well-filled		1
well-known-and		1
wench		2
went		22
were		72
wereáboyhoodáfriends		1
wereáyou?"áshe		1
west		3
western		1
westácoastáor		1
wet		2
weádoásomething		1
what		72
what'd		4
what'll		1
what's		2
what'u		1
what-have-you		2
whatever		4
whatákillsáme		1
when		68
whenever		2
where		19
where's		2
whereja		1
wherever		1
whether		7
which		18
while		15
whimpers		1
whirred		1
whisk		1
whiskey		3
whisper		1
whispering		1
white		1
whitecap		1
who		36
who'd		1
who's		1
whole		13
wholly		1
whom		8
whose		2
why		12
wielding		1
wife		5
wife's		1
wild		1
wildly		1
will		6
willánotátake		1
wilted		2
window		6
window-side		1
windows		1
windshield		3
windy		1
winked		1
winter		1
wire		1
wise		8
wish		2
wished		1
wishes		1
with		147
withdraw		1
within		4
without		15
witháthis?"áshe		1
witháveryápeculiar		1
woman		6
woman's		1
won't		1
wonder		1
wondered		1
wonderful		4
wonderfully		2
wondering		1
word		12
words		3
work		2
worked		2
world		5
world-possibly		1
worldly		1
worried		1
worries		1
worse		3
worship		1
worth		3
would		28
would've		1
wouldja		1
wouldn't		3
wouldárelateáto		1
wrist		1
wrists		1
write		5
writer		4
writers		2
written		4
wrong		4
wrote		3
yank		1
yankee		1
yanking		1
yards		1
yawn		1
yawning		1
year		7
years		12
yellow		1
yes		10
yes,áseymour,"ásaid		1
yes-yes		2
yesterday		1
yet		8
york		5
york-at		1
yorkese		1
you		128
you'd		2
you'll		3
you're		8
you've		1
you'veágotáto		1
you-know-how-men-are		1
young		5
youngest		2
your		25
yours		3
yourábrotheráwon't		1
youthful		1
youálookálike		1
youáseeáwhat		1
z		1
zen		2
zero		2
zipper		1
zooey		6
á		10
